Model,MSO4104
Firmware Version,2.48

Point Format,Y,,,
Horizontal Units,S,,,
Horizontal Scale,1e-06,,,
Sample Interval,1e-09,,,
Record Length,10000,,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,500,500,10,10
Vertical Units,V,V,A,A
Vertical Offset,0,0,0,0
Vertical Scale,500,100,1,2
Label,,,,
TIME,CH1,CH2,CH3,CH4
-4.4930e-06,810,168,-0.5,3
-4.4920e-06,830,176,-0.46,3.08
-4.4910e-06,830,172,-0.38,3.08
-4.4900e-06,810,172,-0.38,3.08
-4.4890e-06,830,168,-0.38,3
-4.4880e-06,810,172,-0.38,2.92
-4.4870e-06,810,172,-0.38,2.92
-4.4860e-06,790,172,-0.42,2.92
-4.4850e-06,850,172,-0.42,3
-4.4840e-06,850,176,-0.34,3
-4.4830e-06,830,176,-0.46,3
-4.4820e-06,790,164,-0.38,3.08
-4.4810e-06,810,168,-0.42,3
-4.4800e-06,810,168,-0.42,3
-4.4790e-06,810,168,-0.46,3
-4.4780e-06,810,172,-0.38,3.08
-4.4770e-06,790,180,-0.38,2.92
-4.4760e-06,810,172,-0.5,3.08
-4.4750e-06,790,172,-0.5,3
-4.4740e-06,810,172,-0.42,3
-4.4730e-06,830,172,-0.42,3
-4.4720e-06,810,172,-0.42,3.08
-4.4710e-06,810,172,-0.46,3
-4.4700e-06,790,176,-0.46,3.08
-4.4690e-06,810,172,-0.5,3
-4.4680e-06,810,176,-0.54,3.08
-4.4670e-06,830,176,-0.5,3
-4.4660e-06,850,172,-0.54,3
-4.4650e-06,810,172,-0.54,3
-4.4640e-06,850,172,-0.5,3.08
